Name	Parent	Time	Position X	Position Y	Position Z	Salsa6f	Target 1 distance	Target 2 distance	Qualitative interaction Tumor	Qualitative interaction 2
1	1000000000	1	719.94	1879.84	134.22	0.1	48.925	48.925	0	0
8	1000000000	2	721.51	1880.79	134.43	0.2	49.462	49.462	0	0
16	1000000000	3	722.35	1881.58	134.84	0.1	35.484	35.484	0	0
24	1000000000	4	722.41	1882.95	135.11	0.09	36.559	36.559	0	0
32	1000000000	5	722.65	1882.44	135.67	0.11	36.559	36.559	0	0
41	1000000000	6	722.78	1884.83	136.19	0.14	36.559	36.559	0	0
50	1000000000	7	720.95	1889.64	137.97	0.23	37.097	37.097	0	0
58	1000000000	8	718.09	1892.73	139.47	0.1	36.559	36.559	0	0
67	1000000000	9	716.41	1894.29	140.4	0.08	48.925	48.925	0	0
76	1000000000	10	714.18	1895.44	141.21	0.09	47.849	47.849	0	0
86	1000000000	11	713.3	1896.42	140.81	0.3	48.387	48.387	0	0
96	1000000000	12	710.89	1898.62	139.39	0.35	47.849	47.849	0	0
105	1000000000	13	709.37	1900.32	138.97	0.5	49.462	49.462	0	0
114	1000000000	14	708.34	1901.69	138.39	0.7	49.462	49.462	0	0
125	1000000000	15	710.37	1903.99	137.34	0.65	50	50	0	0
139	1000000000	16	713.06	1908.32	137.4	0.8	50	50	0	0
152	1000000000	17	715.64	1911.89	137.1	0.7	50	50	0	0
164	1000000000	18	717.95	1912.95	137.45	0.7	50	50	0	0
175	1000000000	19	721.83	1914.74	137.73	0.1	50	50	0	0
200	1000000000	20	725.12	1916.02	137.18	0.7	50	50	0	0
212	1000000000	21	726.06	1917.13	136.43	0.9	50	50	0	0
215	1000000000	22	727.72	1918.57	135.35	0.95	50	50	0	0
227	1000000000	23	730.64	1921.19	133.71	0.5	50	50	0	0
241	1000000000	24	733.72	1922.09	134.2	0.1	50	50	0	0
254	1000000000	25	734.62	1923.14	134.45	0.04	50	50	0	0
268	1000000000	26	736.55	1925.5	135.19	0.09	48.925	60	0	0
279	1000000000	27	739.14	1925.96	136.56	0.12	48.925	60	0	0
290	1000000000	28	741.65	1927.13	139.8	0.15	46.774	60	0	0
301	1000000000	29	742.98	1929.04	141.37	0.1	46.774	50	0	0
312	1000000000	30	744.21	1930.05	142.57	0.1	44.086	50	0	0
321	1000000000	31	745	1932.32	144.51	0.06	43.011	49.462	0	0
331	1000000000	32	743.52	1935.52	145.85	0.16	47.312	50	0	0
339	1000000000	33	740.02	1938.41	149.27	0.3	47.849	50	0	0
348	1000000000	34	739.17	1938.86	150.08	0.2	44.624	50	0	0
357	1000000000	35	738.43	1940.14	151.08	0.3	44.624	50	0	0
366	1000000000	36	739.2	1942.55	151.02	0.1	40.86	50	0	0
375	1000000000	37	741.39	1945.35	151.05	0.1	38.172	50	0	0
387	1000000000	38	742.51	1948.39	150.7	0.1	35.484	38.71	0	0
398	1000000000	39	743.16	1949.46	150.91	0.1	35.484	37.634	0	0
409	1000000000	40	745.53	1952.53	153.23	0.1	31.72	36.559	0	0
2	1000000001	1	730.52	1919.82	142.27	0.2	50	50	0	0
9	1000000001	2	733.12	1919.9	144.55	0.22	49.462	50	0	0
17	1000000001	3	737.52	1921.43	144.63	0.16	45.699	50	0	0
25	1000000001	4	741.61	1922.85	144.47	0.22	41.935	50	0	0
33	1000000001	5	743.97	1922.86	144.24	0.25	42.473	50	0	0
42	1000000001	6	746.91	1923.28	145.25	0.5	42.473	50	0	0
51	1000000001	7	749.25	1922.17	149.38	0.59	41.398	47.312	0	0
59	1000000001	8	749.8	1921.18	152.95	0.7	44.086	50	0	0
68	1000000001	9	751.19	1920.51	155.71	0.8	43.011	50	0	0
77	1000000001	10	752.52	1918.57	155.63	0.95	44.086	48.387	0	0
87	1000000001	11	754.17	1916.89	155.73	1.13	44.086	50	0	0
97	1000000001	12	756.55	1915.38	155.88	0.96	43.011	49.462	0	0
106	1000000001	13	759.57	1913.02	155.89	0.75	41.935	47.849	0	0
115	1000000001	14	762.15	1908.31	157.02	0.45	41.398	50	0	0
138	1000000001	15	762.36	1905.96	157	0.9	41.398	50	0	0
140	1000000001	16	763.87	1904.08	156.69	1.2	39.785	50	0	0
3	1000000002	1	775.21	1928.99	161.17	1.34	4.301	32.796	0	0
10	1000000002	2	777.41	1927.97	161.5	0.9	4.301	28.495	0	0
18	1000000002	3	779.22	1927.81	161.44	0.25	3.763	29.032	0	0
26	1000000002	4	780.88	1927.8	162.54	0.5	3.763	28.495	0	0
35	1000000002	5	782.79	1929.85	164.08	0.59	3.763	25.806	0	0
44	1000000002	6	784.82	1931.5	163.71	0.7	3.763	23.118	0	0
52	1000000002	7	787.26	1931.31	164.1	0.8	3.763	23.656	0	0
61	1000000002	8	788.03	1933.15	161.73	0.95	4.301	19.892	0	0
70	1000000002	9	789.43	1933.85	160.96	1.13	3.763	17.742	0	0
78	1000000002	10	789.75	1935.9	160.74	0.96	3.763	15.591	0	0
89	1000000002	11	790.72	1938.23	160.39	0.75	1.075	14.516	0	0
98	1000000002	12	791.46	1938.71	159.2	0.45	2.688	10.215	0	0
107	1000000002	13	792.52	1938.39	158.48	0.9	2.688	9.14	0	0
116	1000000002	14	793.14	1938.07	158.32	1.2	2.688	9.14	0	0
126	1000000002	15	792.01	1936.4	157.1	1.34	2.151	10.215	0	0
141	1000000002	16	791.62	1935.3	155.87	0.9	2.151	11.29	0	0
